SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
3155,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-02-1995 08:00,530,Clear,odour free,"",25,""
3156,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-02-1995 08:00,541,Clear,odour free,"",25.5,""
3157,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-03-1995 08:00,662,Clear,odour free,"",26,""
3158,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-03-1995 08:00,539,Clear,odour free,"",27,""
3159,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-03-1995 08:00,562,Clear,odour free,"",28.5,""
3160,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-04-1995 08:00,580,Clear,odour free,"",28,""
3161,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-04-1995 08:00,571,Clear,odour free,"",27,""
3162,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-04-1995 08:00,611,Clear,odour free,"",29,""
3163,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-05-1995 08:00,588,Clear,odour free,"",30,""
3164,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-05-1995 08:00,609,Clear,odour free,"",30,""
3165,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,22-05-1995 08:00,687,Clear,odour free,"",28,""
3166,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-06-1995 08:00,620,Clear,odour free,"",31.5,""
3167,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,12-06-1995 08:00,615,Clear,odour free,"",30.5,""
3168,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-06-1995 08:00,580,Clear,odour free,"",26,""
3169,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-07-1995 08:00,594,Clear,odour free,"",26,""
3170,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-07-1995 08:00,580,Clear,odour free,"",26,""
3171,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-07-1995 08:00,570,Clear,odour free,"",25,""
3172,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-08-1995 08:00,693,Clear,odour free,"",26,""
3173,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-08-1995 08:00,636,Clear,odour free,"",26,""
3174,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-08-1995 08:00,628,Clear,odour free,"",27,""
3175,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-09-1995 08:00,577,Clear,odour free,"",25,""
3176,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-09-1995 08:00,620,Clear,odour free,"",26,""
3177,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-09-1995 08:00,653,Clear,odour free,"",28,""
3178,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-10-1995 08:00,536,Clear,odour free,"",26,""
3179,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-10-1995 08:00,400,Clear,odour free,"",24,""
3180,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-10-1995 08:00,393,Clear,odour free,"",25,""
3181,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-11-1995 08:00,525,Clear,odour free,"",25,""
3182,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-11-1995 08:00,560,Clear,odour free,"",25,""
3183,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-11-1995 08:00,556,Clear,odour free,"",25,""
3184,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-12-1995 08:00,563,Clear,odour free,"",25,""
3185,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-12-1995 08:00,569,Clear,odour free,"",22,""
3186,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-12-1995 08:00,543,Clear,odour free,"",20.5,""
3187,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-01-1996 08:00,555,Clear,odour free,"",21,""
3188,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-01-1996 08:00,538,Clear,odour free,"",21,""
3189,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-01-1996 08:00,589,Clear,odour free,"",22,""
3190,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-02-1996 08:00,625,Clear,odour free,"",24,""
3191,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,12-02-1996 08:00,636,Clear,odour free,"",25,""
3192,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,22-02-1996 08:00,650,Clear,odour free,"",25,""
3193,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-03-1996 08:00,626,Clear,odour free,"",24,""
3194,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-03-1996 08:00,631,Clear,odour free,"",25,""
3195,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-03-1996 08:00,640,Clear,odour free,"",27,""
3196,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,02-04-1996 08:00,663,Clear,odour free,"",25,""
3197,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-04-1996 08:00,671,Clear,odour free,"",26,""
3198,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,22-04-1996 08:00,693,Clear,odour free,"",28,""
3199,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-05-1996 08:00,741,Clear,odour free,"",28,""
3200,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-05-1996 08:00,704,Clear,odour free,"",30,""
3201,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,22-05-1996 08:00,707,Clear,odour free,"",29,""
3202,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-06-1996 08:00,1735,Clear,odour free,"",28,""
3203,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-06-1996 08:00,723,Clear,odour free,"",30,""
3204,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-06-1996 08:00,724,Clear,odour free,"",30,""
3205,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-07-1996 08:00,750,Clear,odour free,"",31,""
3206,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-07-1996 08:00,709,Clear,odour free,"",31,""
3207,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,22-07-1996 08:00,736,Clear,odour free,"",27,""
3208,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-08-1996 08:00,681,Clear,odour free,"",25,""
3209,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,12-08-1996 08:00,912,Clear,odour free,"",29,""
3210,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-08-1996 08:00,824,Clear,odour free,"",29,""
3211,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,02-09-1996 08:00,562,Clear,odour free,"",29,""
3212,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-09-1996 08:00,539,Clear,odour free,"",31,""
3213,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,20-09-1996 08:00,605,Clear,odour free,"",32,""
3214,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,03-10-1996 08:00,449,Clear,odour free,"",29,""
3215,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,14-10-1996 08:00,377,Clear,odour free,"",31,""
3216,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,22-10-1996 08:00,561,Clear,odour free,"",30,""
3217,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-11-1996 08:00,567,Clear,odour free,"",29,""
3218,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-11-1996 08:00,596,Clear,odour free,"",29,""
3219,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-11-1996 08:00,582,Clear,odour free,"",25,""
3220,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,02-12-1996 08:00,510,Clear,odour free,"",24,""
3221,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-12-1996 08:00,502,Clear,odour free,"",24,""
3222,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,20-12-1996 08:00,532,Clear,odour free,"",25,""
3223,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-01-1997 08:00,525,Clear,odour free,"",24,""
3224,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,09-01-1997 08:00,496,Clear,odour free,"",23,""
3225,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-01-1997 08:00,475,Clear,odour free,"",25,""
3226,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,03-02-1997 08:00,401,Clear,odour free,"",25,""
3227,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-02-1997 08:00,618,Clear,odour free,"",27,""
3228,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-02-1997 08:00,626,Clear,odour free,"",26,""
3229,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,03-03-1997 08:00,804,Clear,odour free,"",27,""
3230,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-03-1997 08:00,605,Clear,odour free,"",28,""
3231,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-03-1997 08:00,653,Clear,odour free,"",30,""
3232,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-04-1997 08:00,628,Clear,odour free,"",29,""
3233,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,10-04-1997 08:00,623,Clear,odour free,"",29,""
3234,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-04-1997 08:00,618,Clear,odour free,"",30,""
3235,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-05-1997 08:00,623,Clear,odour free,"",30,""
3236,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,12-05-1997 08:00,655,Clear,odour free,"",32,""
3237,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,23-05-1997 08:00,670,Clear,odour free,"",32,""
3238,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-06-1997 08:00,724,Clear,odour free,"",36,""
3239,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-06-1997 08:00,695,Clear,odour free,"",31,""
3240,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-06-1997 08:00,744,Clear,odour free,"",30,""
3241,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-07-1997 08:00,725,Clear,odour free,"",29,""
3242,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-07-1997 08:00,731,Clear,odour free,"",31,""
3243,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,22-07-1997 08:00,724,Clear,odour free,"",30,""
3244,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-08-1997 08:00,765,Clear,odour free,"",29,""
3245,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,12-08-1997 08:00,950,Clear,odour free,"",29,""
3246,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-08-1997 08:00,595,Clear,odour free,"",30,""
3247,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,02-09-1997 08:00,677,Clear,odour free,"",30,""
3248,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-09-1997 08:00,576,Clear,odour free,"",30,""
3249,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,20-09-1997 08:00,488,Clear,odour free,"",30,""
3250,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,03-10-1997 08:00,565,Clear,odour free,"",31,""
3251,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,14-10-1997 08:00,608,Clear,odour free,"",30,""
3252,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,22-10-1997 08:00,607,Clear,odour free,"",31,""
3253,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-11-1997 08:00,600,Clear,odour free,"",30,""
3254,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-11-1997 08:00,581,Clear,odour free,"",27,""
3255,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-11-1997 08:00,577,Clear,odour free,"",28.5,""
3256,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,02-12-1997 08:00,586,Clear,odour free,"",26,""
3257,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-12-1997 08:00,537,Clear,odour free,"",24,""
3258,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,20-12-1997 08:00,558,Clear,odour free,"",23,""
3259,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-01-1998 08:00,566,Clear,odour free,"",25,""
3260,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,09-01-1998 08:00,614,Clear,odour free,"",25,""
3261,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-01-1998 08:00,576,Clear,odour free,"",20,""
3262,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,03-02-1998 08:00,731,Clear,odour free,"",24,""
3263,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-02-1998 08:00,598,Clear,odour free,"",24,""
3264,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-02-1998 08:00,605,Clear,odour free,"",24,""
3265,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,03-03-1998 08:00,603,Clear,odour free,"",27,""
3266,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,11-03-1998 08:00,631,Clear,odour free,"",28,""
3267,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-03-1998 08:00,631,Clear,odour free,"",27,""
3268,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-04-1998 08:00,666,Clear,odour free,"",29,""
3269,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,10-04-1998 08:00,643,Clear,odour free,"",28,""
3270,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,21-04-1998 08:00,650,Clear,odour free,"",28,""
3271,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,01-05-1998 08:00,645,Clear,odour free,"",30,""
3272,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,12-05-1998 08:00,581,Clear,odour free,"",30,""
3273,Paleru Bridge,CWC,28,Andhra Pradesh,510,KRISHNA,JAGGAYYAPETA,-,-,Krishna,Krishna,Paleru,-,-,Paleru,16.94888889,80.04916667,23-05-1998 08:00,731,Clear,odour free,"",30,""
