SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
705,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,21-07-2023 08:09,1.08,"","",""
706,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,01-08-2023 08:07,1.99,"","",""
707,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,11-08-2023 08:44,1.08,"","",""
708,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,21-08-2023 08:02,2.17,"","",""
709,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,01-09-2023 08:46,1.56,"","",""
710,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,11-09-2023 08:55,2.05,"","",""
711,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,21-09-2023 08:01,2.15,"","",""
712,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,03-10-2023 08:28,2.42,"","",""
713,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,11-10-2023 08:16,1.2,"","",""
714,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,11-10-2023 08:35,0.41,"","",""
715,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,21-10-2023 08:48,1.68,"","",""
716,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,01-11-2023 08:11,2.3,"","",""
717,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,11-11-2023 08:19,1.2,"","",""
718,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,21-11-2023 08:08,2.4,"","",""
719,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,01-12-2023 08:38,1.5,"","",""
720,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,11-12-2023 08:42,1,"","",""
721,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,21-12-2023 08:10,2.6,"","",""
722,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,01-01-2024 09:12,2,"","",""
723,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,11-01-2024 09:23,1.4,"","",""
724,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,23-01-2024 09:29,1.8,"","",""
725,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,01-02-2024 09:34,2.5,"","",""
726,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,12-02-2024 08:39,2.5,"","",""
727,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,21-02-2024 09:43,0.4,"","",""
728,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,01-03-2024 08:16,1.7,"","",""
729,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,11-03-2024 08:49,1.8,"","",""
730,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,21-03-2024 08:13,2.1,"","",""
731,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,01-04-2024 08:48,1.3,"","",""
732,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,12-04-2024 08:55,3.5,"","",""
733,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,22-04-2024 08:19,3.5,"","",""
734,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,01-05-2024 08:00,1.9,"","",""
735,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,11-05-2024 08:04,2,"","",""
736,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,21-05-2024 09:07,2.3,"","",""
737,Melliaputti,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Vamsadhara,East flowing rivers between Mahanadi and Pennar,Mahendrathanaya,-,-,Mahendrathanaya,18.77527778,84.17055556,03-06-2024 08:23,2.3,"","",""
738,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-01-2021 08:30,1.4,"",2200,16000
739,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-02-2021 16:33,1.2,"",140,230
740,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-03-2021 08:30,1,"",220,500
741,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,05-04-2021 08:30,0.8,"",140,170
742,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-07-2021 08:30,0.5,"",170,270
743,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,12-07-2021 08:30,0.9,"",200,320
744,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,22-07-2021 08:30,0.8,"",140,270
745,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,02-08-2021 08:30,1.2,"",93,140
746,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,11-08-2021 08:30,0.85,"",140,170
747,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,23-08-2021 08:30,0.9,"",170,210
748,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-09-2021 08:00,0.4,"",170,270
749,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,13-09-2021 08:30,0.6,"",490,790
750,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,21-09-2021 08:00,1.1,"",200,240
751,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-10-2021 08:00,0.4,"",1100,1100
752,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,11-10-2021 08:30,1.3,"",390,1100
753,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,21-10-2021 08:30,1.6,"",1400,2200
754,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-11-2021 08:00,0.8,"",790,1400
755,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,11-11-2021 08:00,4.8,"",340,1300
756,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,22-11-2021 08:00,0.5,"",1400,1700
757,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-12-2021 08:00,0.4,"",790,1100
758,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,10-12-2021 08:40,0.6,"",1400,1700
759,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,21-12-2021 08:40,0.8,"",490,790
760,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-07-2022 08:30,0.7,"","",""
761,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,11-07-2022 08:30,0.6,"","",""
762,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,21-07-2022 08:30,0.6,"","",""
763,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-08-2022 08:30,1,"","",""
764,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,11-08-2022 08:30,0.59,"","",""
765,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,22-08-2022 08:30,1.1,"","",""
766,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-09-2022 08:00,0.5,"","",""
767,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,12-09-2022 08:00,2.2,"","",""
768,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,21-09-2022 08:00,1.1,"","",""
769,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,03-10-2022 08:00,1.9,"","",""
770,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,11-10-2022 08:00,0.9,"","",""
771,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,21-10-2022 08:00,1.2,"","",""
772,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,10-11-2022 08:00,1.3,"","",""
773,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,21-11-2022 08:00,1,"","",""
774,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,01-12-2022 08:00,0.7,"","",""
775,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,12-12-2022 08:00,1.7,"","",""
776,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,21-12-2022 08:00,0.6,"","",""
777,Munugodu,CWC,28,Andhra Pradesh,506,GUNTUR,KROSURU,-,-,Krishna,Krishna,Lower Krishna,-,-,Lower Krishna,16.55472222,80.20638889,11-01-2023 08:30,0.7,"","",""
778,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,05-01-2021 08:00,1.77,"","",""
779,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,27-08-2021 08:00,2.84,"","",""
780,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-09-2021 08:00,1,"","",""
781,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-09-2021 08:00,2.01,"","",""
782,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,21-09-2021 08:00,2.01,"","",""
783,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-10-2021 08:00,1.81,"","",""
784,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-10-2021 08:00,1,"","",""
785,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,21-10-2021 08:00,2.41,"","",""
786,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-11-2021 08:00,2.19,"","",""
787,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,13-11-2021 08:00,2.19,"","",""
788,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,22-11-2021 08:00,3.58,"","",""
789,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-12-2021 08:00,1.77,"","",""
790,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-12-2021 08:00,1.38,"","",""
791,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,21-12-2021 08:00,1.18,"","",""
792,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-01-2022 08:00,2.98,"","",""
793,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-01-2022 08:00,1.19,"","",""
794,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,21-01-2022 08:00,2,"","",""
795,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-02-2022 08:00,2,"","",""
796,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-02-2022 08:00,1.2,"","",""
797,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,21-02-2022 08:00,1.8,"","",""
798,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-04-2022 08:00,2.4,"","",""
799,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,07-07-2022 08:00,1.6,"","",""
800,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-07-2022 08:00,3.4,"","",""
801,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,21-07-2022 08:00,3.6,"","",""
802,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-08-2022 08:00,2,"","",""
803,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-08-2022 08:00,1.2,"","",""
804,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,22-08-2022 08:00,2,"","",""
805,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-09-2022 08:00,2.2,"","",""
806,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,12-09-2022 08:00,2.8,"","",""
807,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,21-09-2022 08:00,2.6,"","",""
808,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-10-2022 08:00,2.6,"","",""
809,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-10-2022 08:00,2,"","",""
810,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,21-10-2022 08:00,2,"","",""
811,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-11-2022 08:00,1.2,"","",""
812,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-11-2022 08:00,1.4,"","",""
813,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-12-2022 08:00,2.6,"","",""
814,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-01-2023 08:00,1.2,"","",""
815,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,21-01-2023 08:00,2,"","",""
816,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,01-02-2023 08:00,1.2,"","",""
817,Naidupet,CWC,28,Andhra Pradesh,515,NELLORE,NAIDUPETA,-,-,Duplicate-Swarnamukhi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Swarnamukhi,13.94722222,79.89722222,11-02-2023 08:00,1,"","",""
